title,link,standardized_date,source,target,relation
Marc Bell: Big OC Plans for Small-Satellite Maker,https://terranorbital.com/marc-bell-big-oc-plans-for-small-satellite-maker/,2023-01-13,Boeing,Millennium Space Systems,Mergers and Acquisitions
Marc Bell: Big OC Plans for Small-Satellite Maker,https://terranorbital.com/marc-bell-big-oc-plans-for-small-satellite-maker/,2023-01-13,Raytheon,Blue Canyon Technologies,Mergers and Acquisitions
LunIR joins CAPSTONE as Second Terran Orbital-Developed Lunar Satellite to Launch this Year,https://terranorbital.com/lunir-joins-capstone-as-second-terran-orbital-developed-lunar-satellite-to-launch-this-year/,2022-11-16,Terran Orbital,Lockheed Martin,Supplier-Customer Relationships
LunIR joins CAPSTONE as Second Terran Orbital-Developed Lunar Satellite to Launch this Year,https://terranorbital.com/lunir-joins-capstone-as-second-terran-orbital-developed-lunar-satellite-to-launch-this-year/,2022-11-16,Terran Orbital,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
LunIR joins CAPSTONE as Second Terran Orbital-Developed Lunar Satellite to Launch this Year,https://terranorbital.com/lunir-joins-capstone-as-second-terran-orbital-developed-lunar-satellite-to-launch-this-year/,2022-11-16,Lockheed Martin,National Aeronautics and Space Administration (NASA),Strategic Alliances
Making History: Terran Orbital-Developed CAPSTONE Enters NRHO Around the Moon,https://terranorbital.com/making-history-terran-orbital-developed-capstone-enters-nrho-around-the-moon/,2022-11-14,Terran Orbital,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Making History: Terran Orbital-Developed CAPSTONE Enters NRHO Around the Moon,https://terranorbital.com/making-history-terran-orbital-developed-capstone-enters-nrho-around-the-moon/,2022-11-14,Terran Orbital,Advanced Space,Strategic Alliances
Making History: Terran Orbital-Developed CAPSTONE Enters NRHO Around the Moon,https://terranorbital.com/making-history-terran-orbital-developed-capstone-enters-nrho-around-the-moon/,2022-11-14,Terran Orbital,Rocket Lab,Strategic Alliances
Terran Orbital Reports Third Quarter 2022 Financial Results Including Another Quarter of Record Revenue,https://terranorbital.com/terran-orbital-reports-third-quarter-2022-financial-results-including-another-quarter-of-record-revenue/,2022-11-09,Terran Orbital,Lockheed Martin,Strategic Alliances
Terran Orbital Reports Third Quarter 2022 Financial Results Including Another Quarter of Record Revenue,https://terranorbital.com/terran-orbital-reports-third-quarter-2022-financial-results-including-another-quarter-of-record-revenue/,2022-11-09,Terran Orbital,Space Development Agency (SDA),Supplier-Customer Relationships
Terran Orbital Receives $100 Million Investment from Lockheed Martin,https://terranorbital.com/terran-orbital-receives-100-million-investment-from-lockheed-martin/,2022-10-31,Terran Orbital,Lockheed Martin,Investment and Financial Partnerships
Terran Orbital-Developed PropCube Finds New Home at Smithsonian’s National Air and Space Museum,https://terranorbital.com/terran-orbital-developed-propcube-finds-new-home-at-smithsonians-national-air-and-space-museum/,2022-10-13,Terran Orbital,Tyvak,Mergers and Acquisitions
Spacecraft builder York sells stake to private equity firm AEI at over $1 billion valuation,https://terranorbital.com/spacecraft-builder-york-sells-stake-to-private-equity-firm-aei-at-over-1-billion-valuation/,2022-10-05,York Space Systems,AE Industrial Partners,Investment and Financial Partnerships
Spacecraft builder York sells stake to private equity firm AEI at over $1 billion valuation,https://terranorbital.com/spacecraft-builder-york-sells-stake-to-private-equity-firm-aei-at-over-1-billion-valuation/,2022-10-05,York Space Systems,BlackRock,Investment and Financial Partnerships
Terran Orbital Concludes Final Launch Preparations For LunIR,https://terranorbital.com/terran-orbital-concludes-final-launch-preparations-for-lunir/,2022-08-26,Terran Orbital,Lockheed Martin,Supplier-Customer Relationships
Terran Orbital Concludes Final Launch Preparations For LunIR,https://terranorbital.com/terran-orbital-concludes-final-launch-preparations-for-lunir/,2022-08-26,Terran Orbital,KSAT,Strategic Alliances
Terran Orbital Concludes Final Launch Preparations For LunIR,https://terranorbital.com/terran-orbital-concludes-final-launch-preparations-for-lunir/,2022-08-26,Lockheed Martin,KSAT,Strategic Alliances
Terran Orbital Integrates LunIR Into NASA’s Space Launch System,https://terranorbital.com/terran-orbital-integrates-lunir-into-nasas-space-launch-system/,2022-08-23,Terran Orbital,Lockheed Martin,Joint Product Development
Terran Orbital Integrates LunIR Into NASA’s Space Launch System,https://terranorbital.com/terran-orbital-integrates-lunir-into-nasas-space-launch-system/,2022-08-23,Terran Orbital,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Terran Orbital Integrates LunIR Into NASA’s Space Launch System,https://terranorbital.com/terran-orbital-integrates-lunir-into-nasas-space-launch-system/,2022-08-23,Terran Orbital,KSAT,Supplier-Customer Relationships
Terran Orbital Integrates LunIR Into NASA’s Space Launch System,https://terranorbital.com/terran-orbital-integrates-lunir-into-nasas-space-launch-system/,2022-08-23,Lockheed Martin,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Terran Orbital Delivers LunIR To Cape Canaveral For Artemis 1 Launch,https://terranorbital.com/terran-orbital-delivers-lunir-to-cape-canaveral-for-artemis-1-launch/,2022-08-18,Lockheed Martin,Terran Orbital,Joint Product Development
Why NASA Wants to Go Back to the Moon,https://terranorbital.com/why-nasa-wants-to-go-back-to-the-moon/,2022-08-12,National Aeronautics and Space Administration (NASA),European Space Agency (ESA),Strategic Alliances
Terran Orbital Commissions Fleet Space CENTAURI-5 Payload,https://terranorbital.com/terran-orbital-commissions-fleet-space-centauri-5-payload/,2022-07-21,Fleet Space,Terran Orbital,Joint Product Development
Terran Orbital Successfully Completes Next Step in Demonstrating Space-to-Ground Optical Link on NASA’s Pathfinder Technology Demonstrator 3 Satellite,https://terranorbital.com/terran-orbital-successfully-completes-next-step-in-demonstrating-space-to-ground-optical-link-on-nasas-pathfinder-technology-demonstrator-3-satellite/,2022-07-19,Terran Orbital,National Aeronautics and Space Administration (NASA),Technology Demonstration Partnerships
Terran Orbital Executes CAPSTONE’s Second TCM Burn,https://terranorbital.com/terran-orbital-executes-capstones-second-tcm-burn/,2022-07-12,Terran Orbital,Advanced Space,Strategic Alliances
Terran Orbital Executes CAPSTONE’s Second TCM Burn,https://terranorbital.com/terran-orbital-executes-capstones-second-tcm-burn/,2022-07-12,Terran Orbital,National Aeronautics and Space Administration (NASA),Strategic Alliances
Terran Orbital Executes CAPSTONE’s Second TCM Burn,https://terranorbital.com/terran-orbital-executes-capstones-second-tcm-burn/,2022-07-12,Advanced Space,National Aeronautics and Space Administration (NASA),Strategic Alliances
"CAPSTONE Satellite, Designed and Built by Terran Orbital, Successfully Deploys from Rocket Lab Lunar Photon into Lunar Transfer Orbit",https://terranorbital.com/capstone-satellite-designed-and-built-by-terran-orbital-successfully-deploys-from-rocket-lab-lunar-photon-into-lunar-transfer-orbit/,2022-07-07,Terran Orbital,Advanced Space,Supplier-Customer Relationships
"CAPSTONE Satellite, Designed and Built by Terran Orbital, Successfully Deploys from Rocket Lab Lunar Photon into Lunar Transfer Orbit",https://terranorbital.com/capstone-satellite-designed-and-built-by-terran-orbital-successfully-deploys-from-rocket-lab-lunar-photon-into-lunar-transfer-orbit/,2022-07-07,Terran Orbital,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
"CAPSTONE Satellite, Designed and Built by Terran Orbital, Successfully Deploys from Rocket Lab Lunar Photon into Lunar Transfer Orbit",https://terranorbital.com/capstone-satellite-designed-and-built-by-terran-orbital-successfully-deploys-from-rocket-lab-lunar-photon-into-lunar-transfer-orbit/,2022-07-07,Terran Orbital,Rocket Lab,Supplier-Customer Relationships
"CAPSTONE Satellite, Designed and Built by Terran Orbital, Successfully Deploys from Rocket Lab Lunar Photon into Lunar Transfer Orbit",https://terranorbital.com/capstone-satellite-designed-and-built-by-terran-orbital-successfully-deploys-from-rocket-lab-lunar-photon-into-lunar-transfer-orbit/,2022-07-07,Advanced Space,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
"CAPSTONE Satellite, Designed and Built by Terran Orbital, Successfully Deploys from Rocket Lab Lunar Photon into Lunar Transfer Orbit",https://terranorbital.com/capstone-satellite-designed-and-built-by-terran-orbital-successfully-deploys-from-rocket-lab-lunar-photon-into-lunar-transfer-orbit/,2022-07-07,Rocket Lab,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Terran Orbital Integrates CAPSTONE Aboard Rocket Lab Electron Rocket,https://terranorbital.com/terran-orbital-integrates-capstone-aboard-rocket-lab-electron-rocket/,2022-06-24,Advanced Space,National Aeronautics and Space Administration (NASA),Strategic Alliances
Terran Orbital Integrates CAPSTONE Aboard Rocket Lab Electron Rocket,https://terranorbital.com/terran-orbital-integrates-capstone-aboard-rocket-lab-electron-rocket/,2022-06-24,Rocket Lab,National Aeronautics and Space Administration (NASA),Strategic Alliances
Terran Orbital Integrates CAPSTONE Aboard Rocket Lab Electron Rocket,https://terranorbital.com/terran-orbital-integrates-capstone-aboard-rocket-lab-electron-rocket/,2022-06-24,Terran Orbital,National Aeronautics and Space Administration (NASA),Strategic Alliances
Terran Orbital Integrates CAPSTONE Aboard Rocket Lab Electron Rocket,https://terranorbital.com/terran-orbital-integrates-capstone-aboard-rocket-lab-electron-rocket/,2022-06-24,Rocket Lab,Advanced Space,Supplier-Customer Relationships
Terran Orbital Integrates CAPSTONE Aboard Rocket Lab Electron Rocket,https://terranorbital.com/terran-orbital-integrates-capstone-aboard-rocket-lab-electron-rocket/,2022-06-24,Rocket Lab,Terran Orbital,Supplier-Customer Relationships
Terran Orbital Integrates CAPSTONE Aboard Rocket Lab Electron Rocket,https://terranorbital.com/terran-orbital-integrates-capstone-aboard-rocket-lab-electron-rocket/,2022-06-24,Terran Orbital,Advanced Space,Supplier-Customer Relationships
The Capstone Launch Will Kick Off NASA’s Artemis Moon Program,https://terranorbital.com/the-capstone-launch-will-kick-off-nasas-artemis-moon-program/,2022-06-24,National Aeronautics and Space Administration (NASA),Northrop Grumman,Strategic Alliances
The Capstone Launch Will Kick Off NASA’s Artemis Moon Program,https://terranorbital.com/the-capstone-launch-will-kick-off-nasas-artemis-moon-program/,2022-06-24,National Aeronautics and Space Administration (NASA),Maxar,Strategic Alliances
The Capstone Launch Will Kick Off NASA’s Artemis Moon Program,https://terranorbital.com/the-capstone-launch-will-kick-off-nasas-artemis-moon-program/,2022-06-24,National Aeronautics and Space Administration (NASA),European Space Agency (ESA),Strategic Alliances
The Capstone Launch Will Kick Off NASA’s Artemis Moon Program,https://terranorbital.com/the-capstone-launch-will-kick-off-nasas-artemis-moon-program/,2022-06-24,National Aeronautics and Space Administration (NASA),Japan Aerospace Exploration Agency (JAXA),Strategic Alliances
A tiny spacecraft the size of a microwave could pave the way for a station between Earth and the moon,https://terranorbital.com/a-tiny-spacecraft-the-size-of-a-microwave-could-pave-the-way-for-a-station-between-earth-and-the-moon/,2022-06-24,Rocket Lab,Stellar Exploration,Supplier-Customer Relationships
A tiny spacecraft the size of a microwave could pave the way for a station between Earth and the moon,https://terranorbital.com/a-tiny-spacecraft-the-size-of-a-microwave-could-pave-the-way-for-a-station-between-earth-and-the-moon/,2022-06-24,Rocket Lab,Terran Orbital,Supplier-Customer Relationships
A tiny spacecraft the size of a microwave could pave the way for a station between Earth and the moon,https://terranorbital.com/a-tiny-spacecraft-the-size-of-a-microwave-could-pave-the-way-for-a-station-between-earth-and-the-moon/,2022-06-24,Rocket Lab,Advanced Space,Supplier-Customer Relationships
A tiny spacecraft the size of a microwave could pave the way for a station between Earth and the moon,https://terranorbital.com/a-tiny-spacecraft-the-size-of-a-microwave-could-pave-the-way-for-a-station-between-earth-and-the-moon/,2022-06-24,Stellar Exploration,Terran Orbital,Supplier-Customer Relationships
A tiny spacecraft the size of a microwave could pave the way for a station between Earth and the moon,https://terranorbital.com/a-tiny-spacecraft-the-size-of-a-microwave-could-pave-the-way-for-a-station-between-earth-and-the-moon/,2022-06-24,Stellar Exploration,Advanced Space,Supplier-Customer Relationships
A tiny spacecraft the size of a microwave could pave the way for a station between Earth and the moon,https://terranorbital.com/a-tiny-spacecraft-the-size-of-a-microwave-could-pave-the-way-for-a-station-between-earth-and-the-moon/,2022-06-24,Terran Orbital,Advanced Space,Supplier-Customer Relationships
